Incident ID,Incident Type,Severity,Description,Status,Time Reported,Time Resolved
INC0001,Network Issue,Medium,DNS failure,Closed,2024-03-20 12:53:18.289722,2024-03-22 02:53:18.289722
INC0002,Server Failure,Low,Web server unresponsive,Closed,2024-11-25 15:53:18.289749,2024-11-27 13:53:18.289749
INC0003,Server Failure,Medium,Database server crash,Closed,2024-05-06 00:53:18.289760,2024-05-08 18:53:18.289760
INC0004,Network Issue,Low,DNS failure,Closed,2024-03-27 14:53:18.289769,2024-03-27 20:53:18.289769
INC0005,Server Failure,Medium,Application server failure,Resolved,2024-04-15 17:53:18.289778,2024-04-17 18:53:18.289778
INC0006,Network Issue,Low,Network latency observed,Open,2024-06-30 12:53:18.289787,2024-07-02 01:53:18.289787
INC0007,Server Failure,Low,Web server unresponsive,Resolved,2024-10-17 14:53:18.289797,2024-10-19 00:53:18.289797
INC0008,Server Failure,High,Web server unresponsive,Open,2024-01-25 16:53:18.289810,2024-01-26 00:53:18.289810
INC0009,Network Issue,Critical,DNS failure,Closed,2024-04-25 17:53:18.289818,2024-04-28 13:53:18.289818
INC0010,Server Failure,High,Web server unresponsive,Resolved,2024-06-02 04:53:18.289827,2024-06-02 13:53:18.289827
INC0011,Network Issue,High,Network outage in region A,Closed,2024-02-23 12:53:18.289836,2024-02-25 09:53:18.289836
INC0012,Network Issue,Medium,Connectivity issue with router,Open,2024-07-21 05:53:18.289845,2024-07-21 18:53:18.289845
INC0013,Network Issue,Critical,Network outage in region A,Resolved,2024-04-13 00:53:18.289853,2024-04-14 14:53:18.289853
INC0014,Network Issue,Low,Network outage in region A,Closed,2024-02-16 12:53:18.289862,2024-02-17 04:53:18.289862
INC0015,Server Failure,Medium,Database server crash,Resolved,2024-01-21 08:53:18.289870,2024-01-22 12:53:18.289870
INC0016,Server Failure,High,Application server failure,Resolved,2024-12-13 07:53:18.289879,2024-12-15 02:53:18.289879
INC0017,Server Failure,Critical,Database server crash,Closed,2024-04-05 08:53:18.289887,2024-04-07 09:53:18.289887
INC0018,Network Issue,Low,Connectivity issue with router,Open,2024-09-01 21:53:18.289896,2024-09-04 05:53:18.289896
INC0019,Server Failure,Low,Web server unresponsive,Closed,2024-08-20 02:53:18.289905,2024-08-22 13:53:18.289905
INC0020,Server Failure,Low,Hardware malfunction in server rack,Resolved,2024-11-13 01:53:18.289913,2024-11-14 07:53:18.289913
INC0021,Network Issue,Critical,Bandwidth congestion detected,Open,2024-06-18 21:53:18.289921,2024-06-19 08:53:18.289921
INC0022,Server Failure,Critical,Power failure in data center,Resolved,2023-12-28 03:53:18.289930,2023-12-29 04:53:18.289930
INC0023,Network Issue,Medium,Network outage in region A,Closed,2024-06-18 19:53:18.289938,2024-06-20 20:53:18.289938
INC0024,Network Issue,Low,DNS failure,Closed,2024-04-20 14:53:18.289947,2024-04-23 10:53:18.289947
INC0025,Network Issue,High,Network latency observed,Open,2024-03-25 05:53:18.289955,2024-03-26 15:53:18.289955
INC0026,Server Failure,Low,Hardware malfunction in server rack,Resolved,2024-09-09 07:53:18.289963,2024-09-10 00:53:18.289963
INC0027,Network Issue,Critical,Network outage in region A,Open,2024-07-24 10:53:18.289972,2024-07-24 16:53:18.289972
INC0028,Server Failure,Medium,Power failure in data center,Resolved,2024-01-23 15:53:18.289980,2024-01-23 20:53:18.289980
INC0029,Server Failure,High,Database server crash,Resolved,2024-07-03 10:53:18.289988,2024-07-03 16:53:18.289988
INC0030,Network Issue,Critical,Network latency observed,Closed,2024-05-23 07:53:18.289997,2024-05-25 06:53:18.289997
